sl_no,project_name,agency,project_code,state,approval_date,start_date,original_completion_date,revised_completion_date,original_cost,revised_cost,cumulative_expenditure,physical_progress,source_page,report_month,source_report,report_date
1080,Delhi-Amritsar-Katra Expressway Phase-I Pkg-IV from Junction with Jind-Karnal road NH-709A near Alewa village to Junction with Ambala-Kaithal-Hissar road NH-152 near Kharak Pandwa village Km 91400 to Km 120250,National Highways Authority of India [NHAI],618485,Haryana,2021-01,2021-12,2023-12,2024-03,1306.95,1578.66,563.2,76.13,109,April 2026,FlashReport_April2026.pdf,2026-04
1084,Delhi-Amritsar-Katra Expressway Phase-I Pkg-IV from Junction with Jind-Karnal road NH-709A near Alewa village to Junction with Ambala-Kaithal-Hissar road NH-152 near Kharak Pandwa village Km 91400 to Km 120250,National Highways Authority of India [NHAI],618485,Haryana,2021-01,2021-12,2023-12,2024-03,1306.95,1578.66,563.2,76.13,109,May 2026,FlashReport_May2026.pdf,2026-05
1502,Delhi-Amritsar-Katra Expressway Phase-I Pkg-V from Junction with Ambala-Kaithal- Hissar road NH-152 near Kharak Pandwa village to Junction with Patiala-Samana- Patran road SH-10 near Ghagga village Km 120250 to Km 157920,National Highways Authority of India [NHAI],618486,"Multi-States (Haryana, Punjab)",2021-01,2022-05,2024-05,2026-05,1741.86,2281.02,924.51,98.7,134,April 2026,FlashReport_April2026.pdf,2026-04
1513,Delhi-Amritsar-Katra Expressway Phase-I Pkg-V from Junction with Ambala-Kaithal- Hissar road NH-152 near Kharak Pandwa village to Junction with Patiala-Samana- Patran road SH-10 near Ghagga village Km 120250 to Km 157920,National Highways Authority of India [NHAI],618486,"Multi-States (Haryana, Punjab)",2021-01,2022-05,2024-05,2026-06,1741.86,2281.02,924.58,98.7,134,May 2026,FlashReport_May2026.pdf,2026-05
1421,Delhi-Amritsar-Katra Expressway Phase-I Pkg-V from Junction with Ambala-Kaithal- Hissar road NH-152 near Kharak Pandwa village to Junction with Patiala-Samana- Patran road SH-10 near Ghagga village Km 120250 to Km 157920,NHAI,618486,"Multi-States (Haryana, Punjab)",2021-01,2022-05,2024-05,2026-07,1741.86,2281.02,1431.89,98.7,135,June 2026,FlashReport_June_2026.pdf,2026-06
1345,Delhi-Amritsar-Katra Expressway Phase-I Pkg-V from Junction with Ambala-Kaithal- Hissar road NH-152 near Kharak Pandwa village to Junction with Patiala-Samana- Patran road SH-10 near Ghagga village Km 120250 to Km 157920,NHAI,618486,"Multi-States (Haryana, Punjab)",2021-01,2022-05,2024-05,2026-08,1741.86,2281.02,1508.2,98.7,127,July 2026,FlashReport_July_2026.pdf,2026-07
1609,Delhi-Amritsar-Katra Expressway Phase-I Pkg-VII from Junction with Patiala-Bathinda road NH-7 near Bhawanigarh to Junction with Ludhiana-Malerhkotla SH-11 near Bhogiwal village Km 188830 to km 225770,National Highways Authority of India [NHAI],618487,Punjab,2020-12,2022-07,2024-07,2026-06,1759.82,1774.32,1250.45,95.8,141,April 2026,FlashReport_April2026.pdf,2026-04
1620,Delhi-Amritsar-Katra Expressway Phase-I Pkg-VII from Junction with Patiala-Bathinda road NH-7 near Bhawanigarh to Junction with Ludhiana-Malerhkotla SH-11 near Bhogiwal village Km 188830 to km 225770,National Highways Authority of India [NHAI],618487,Punjab,2020-12,2022-07,2024-07,2026-06,1759.82,1774.32,1250.45,95.8,140,May 2026,FlashReport_May2026.pdf,2026-05
1610,Delhi-Amritsar-Katra Expressway Phase-I Pkg-VIII from Junction with Ludhiana- Malerkotla SH-11 near Bhogiwal village to Junction with Ludhiana-Moga road NH-5 near Mullanpur Dakha Km 225770 to km 260860,National Highways Authority of India [NHAI],618488,Punjab,2020-12,2023-03,2025-03,,1895.74,2034.94,751.95,31.08,141,April 2026,FlashReport_April2026.pdf,2026-04
1621,Delhi-Amritsar-Katra Expressway Phase-I Pkg-VIII from Junction with Ludhiana- Malerkotla SH-11 near Bhogiwal village to Junction with Ludhiana-Moga road NH-5 near Mullanpur Dakha Km 225770 to km 260860,National Highways Authority of India [NHAI],618488,Punjab,2020-12,2023-03,2025-03,,1895.74,2034.94,751.95,31.08,141,May 2026,FlashReport_May2026.pdf,2026-05
1513,Delhi-Amritsar-Katra Expressway Phase-I Pkg-VIII from Junction with Ludhiana- Malerkotla SH-11 near Bhogiwal village to Junction with Ludhiana-Moga road NH-5 near Mullanpur Dakha Km 225770 to km 260860,NHAI,618488,Punjab,2020-12,2023-03,2025-03,2026-12,1895.74,2034.94,1274.51,31.08,140,June 2026,FlashReport_June_2026.pdf,2026-06
1611,Delhi-Amritsar-Katra Expressway Phase-I Pkg-IX from Junction with Ludhiana-Moga road NH-5 near Mullanpur Dakha to Junction with Jalandhar - Moga road NH-703 near Kang Sahibu village Km 260860 to km 303900,National Highways Authority of India [NHAI],618489,Punjab,2020-12,2022-07,2024-07,2027-03,1851.47,2407.14,1348.9,73.26,141,April 2026,FlashReport_April2026.pdf,2026-04
1622,Delhi-Amritsar-Katra Expressway Phase-I Pkg-IX from Junction with Ludhiana-Moga road NH-5 near Mullanpur Dakha to Junction with Jalandhar - Moga road NH-703 near Kang Sahibu village Km 260860 to km 303900,National Highways Authority of India [NHAI],618489,Punjab,2020-12,2022-07,2024-07,2027-03,1851.47,2407.14,1370.36,73.32,141,May 2026,FlashReport_May2026.pdf,2026-05
1514,Delhi-Amritsar-Katra Expressway Phase-I Pkg-IX from Junction with Ludhiana-Moga road NH-5 near Mullanpur Dakha to Junction with Jalandhar - Moga road NH-703 near Kang Sahibu village Km 260860 to km 303900,NHAI,618489,Punjab,2020-12,2022-07,2024-07,2027-03,1851.47,2407.14,1934.7,73.35,140,June 2026,FlashReport_June_2026.pdf,2026-06
1436,Delhi-Amritsar-Katra Expressway Phase-I Pkg-IX from Junction with Ludhiana-Moga road NH-5 near Mullanpur Dakha to Junction with Jalandhar - Moga road NH-703 near Kang Sahibu village Km 260860 to km 303900,NHAI,618489,Punjab,2020-12,2022-07,2024-07,2027-03,1851.47,2407.14,1935.88,73.35,132,July 2026,FlashReport_July_2026.pdf,2026-07
1612,Delhi-Amritsar-Katra Expressway Phase-I Pkg-X from Jn. with Jalandhar - Moga road NH-703 to Jn. with Jalandhar-Kapurthala road NH-703A and to Jn. with Kapurthala - Sultanpur Lodhi road NH-703A km 000 to km 24000 to Amritsar connectivity,National Highways Authority of India [NHAI],618490,Punjab,2020-12,2022-07,2024-07,2025-09,2177.54,2062.74,1004.28,62.99,141,April 2026,FlashReport_April2026.pdf,2026-04
1623,Delhi-Amritsar-Katra Expressway Phase-I Pkg-X from Jn. with Jalandhar - Moga road NH-703 to Jn. with Jalandhar-Kapurthala road NH-703A and to Jn. with Kapurthala - Sultanpur Lodhi road NH-703A km 000 to km 24000 to Amritsar connectivity,National Highways Authority of India [NHAI],618490,Punjab,2020-12,2022-07,2024-07,2025-09,2177.54,2062.74,1004.28,62.99,141,May 2026,FlashReport_May2026.pdf,2026-05
1515,Delhi-Amritsar-Katra Expressway Phase-I Pkg-X from Jn. with Jalandhar - Moga road NH-703 to Jn. with Jalandhar-Kapurthala road NH-703A and to Jn. with Kapurthala - Sultanpur Lodhi road NH-703A km 000 to km 24000 to Amritsar connectivity,NHAI,618490,Punjab,2020-12,2022-07,2024-07,2026-07,2177.54,2062.74,1524.23,62.99,140,June 2026,FlashReport_June_2026.pdf,2026-06
1613,Delhi-Amritsar-Katra Expressway Phase-I Pkg-XI from Junction with Jalandhar - Kapurthala road NH-703A near khojewal village to Junction with Amritsar-Mehta- SriHargobindpur-Tanda road NH-503A near SriHargobindpur Km 319400 to km 362420,National Highways Authority of India [NHAI],618491,Punjab,2021-03,2022-11,2024-11,,2175.35,2206.71,941.19,43.45,141,April 2026,FlashReport_April2026.pdf,2026-04
1624,Delhi-Amritsar-Katra Expressway Phase-I Pkg-XI from Junction with Jalandhar - Kapurthala road NH-703A near khojewal village to Junction with Amritsar-Mehta- SriHargobindpur-Tanda road NH-503A near SriHargobindpur Km 319400 to km 362420,National Highways Authority of India [NHAI],618491,Punjab,2021-03,2022-11,2024-11,,2175.35,2206.71,941.19,43.45,141,May 2026,FlashReport_May2026.pdf,2026-05
1516,Delhi-Amritsar-Katra Expressway Phase-I Pkg-XI from Junction with Jalandhar - Kapurthala road NH-703A near khojewal village to Junction with Amritsar-Mehta- SriHargobindpur-Tanda road NH-503A near SriHargobindpur Km 319400 to km 362420,NHAI,618491,Punjab,2021-03,2022-11,2024-11,2026-12,2175.35,2206.71,1377.13,43.45,140,June 2026,FlashReport_June_2026.pdf,2026-06
1614,Delhi-Amritsar-Katra Expressway Phase-I Pkg-XII from Junction with Amritsar-Mehta- SriHargobindpur-Tanda road NH-503A near SriHargobindpur to Junction with Pathankot-Gurdaspur road NH-54 near Gurdaspur Km 362420 to km 397700,National Highways Authority of India [NHAI],618492,Punjab,2021-03,2024-01,2025-12,2027-02,1734.18,1538.47,470.92,27.05,141,April 2026,FlashReport_April2026.pdf,2026-04
1625,Delhi-Amritsar-Katra Expressway Phase-I Pkg-XII from Junction with Amritsar-Mehta- SriHargobindpur-Tanda road NH-503A near SriHargobindpur to Junction with Pathankot-Gurdaspur road NH-54 near Gurdaspur Km 362420 to km 397700,National Highways Authority of India [NHAI],618492,Punjab,2021-03,2024-01,2025-12,2027-02,1734.18,1538.47,470.92,27.05,141,May 2026,FlashReport_May2026.pdf,2026-05
1517,Delhi-Amritsar-Katra Expressway Phase-I Pkg-XII from Junction with Amritsar-Mehta- SriHargobindpur-Tanda road NH-503A near SriHargobindpur to Junction with Pathankot-Gurdaspur road NH-54 near Gurdaspur Km 362420 to km 397700,NHAI,618492,Punjab,2021-03,2025-02,2027-02,2027-06,1734.18,1538.47,773.53,27.52,140,June 2026,FlashReport_June_2026.pdf,2026-06
1437,Delhi-Amritsar-Katra Expressway Phase-I Pkg-XII from Junction with Amritsar-Mehta- SriHargobindpur-Tanda road NH-503A near SriHargobindpur to Junction with Pathankot-Gurdaspur road NH-54 near Gurdaspur Km 362420 to km 397700,NHAI,618492,Punjab,2021-03,2025-02,2027-02,2027-06,1734.18,1538.47,780.61,27.6,132,July 2026,FlashReport_July_2026.pdf,2026-07
1615,Delhi-Amritsar-Katra Expressway Phase-I Spur-I from Jn. with Kapurthala - Sultanpur Lodhi Road NH-703A near Isharwal village to Jn. with Kapurthala - Tarn Taran road NH-703AA near Goinwal Sahib [Km 24000 to Km 41000 of Amritsar connectivity],National Highways Authority of India [NHAI],618493,Punjab,2021-12,2023-04,2026-04,2028-03,2165.23,1519.6,396.24,31.77,141,April 2026,FlashReport_April2026.pdf,2026-04
1626,Delhi-Amritsar-Katra Expressway Phase-I Spur-I from Jn. with Kapurthala - Sultanpur Lodhi Road NH-703A near Isharwal village to Jn. with Kapurthala - Tarn Taran road NH-703AA near Goinwal Sahib [Km 24000 to Km 41000 of Amritsar connectivity],National Highways Authority of India [NHAI],618493,Punjab,2021-12,2023-04,2026-04,2028-03,2165.23,1519.6,422.45,32.69,141,May 2026,FlashReport_May2026.pdf,2026-05
1518,Delhi-Amritsar-Katra Expressway Phase-I Spur-I from Jn. with Kapurthala - Sultanpur Lodhi Road NH-703A near Isharwal village to Jn. with Kapurthala - Tarn Taran road NH-703AA near Goinwal Sahib [Km 24000 to Km 41000 of Amritsar connectivity],NHAI,618493,Punjab,2021-12,2023-04,2026-04,2028-03,2165.23,1519.6,603.8,33.49,140,June 2026,FlashReport_June_2026.pdf,2026-06
1438,Delhi-Amritsar-Katra Expressway Phase-I Spur-I from Jn. with Kapurthala - Sultanpur Lodhi Road NH-703A near Isharwal village to Jn. with Kapurthala - Tarn Taran road NH-703AA near Goinwal Sahib [Km 24000 to Km 41000 of Amritsar connectivity],NHAI,618493,Punjab,2021-12,2023-04,2026-04,2028-03,2165.23,1519.6,618.22,34.79,132,July 2026,FlashReport_July_2026.pdf,2026-07
1136,Delhi-Amritsar-Katra Expressway Phase-II Pkg-XV [Junction with Hiranagar Road near village Gurha Baildaran to Junction with Jammu Ring Road NH-244A near Jakh village from Km 468100 to Km 503250],National Highways Authority of India [NHAI],618494,Jammu and Kashmir,2021-10,2022-09,2024-09,2026-12,2714.95,3716.56,1653.54,88.87,113,April 2026,FlashReport_April2026.pdf,2026-04
1140,Delhi-Amritsar-Katra Expressway Phase-II Pkg-XV [Junction with Hiranagar Road near village Gurha Baildaran to Junction with Jammu Ring Road NH-244A near Jakh village from Km 468100 to Km 503250],National Highways Authority of India [NHAI],618494,Jammu and Kashmir,2021-10,2022-09,2024-09,2026-12,2714.95,3716.56,1655.87,89.37,112,May 2026,FlashReport_May2026.pdf,2026-05
1076,Delhi-Amritsar-Katra Expressway Phase-II Pkg-XV [Junction with Hiranagar Road near village Gurha Baildaran to Junction with Jammu Ring Road NH-244A near Jakh village from Km 468100 to Km 503250],NHAI,618494,Jammu and Kashmir,2021-10,2022-09,2024-09,2026-12,2714.95,3716.56,1833.59,89.52,114,June 2026,FlashReport_June_2026.pdf,2026-06
1003,Delhi-Amritsar-Katra Expressway Phase-II Pkg-XV [Junction with Hiranagar Road near village Gurha Baildaran to Junction with Jammu Ring Road NH-244A near Jakh village from Km 468100 to Km 503250],NHAI,618494,Jammu and Kashmir,2021-10,2022-09,2024-09,2026-12,2714.95,3716.56,1846.59,90.01,106,July 2026,FlashReport_July_2026.pdf,2026-07
1137,4/6L Access Control Expressway from Design Chainage Km 515.000 to 528.300 Kunjwani to Sidhra Section of NH-44 and from Design Chainage Km 550.900 to Km 566.520 Domel to Katra Section Phase II-Package XVII,National Highways Authority of India [NHAI],618495,Jammu and Kashmir,2022-06,2023-06,2025-06,2027-03,2894.74,2894.74,810.99,62.0,113,April 2026,FlashReport_April2026.pdf,2026-04
1141,4/6L Access Control Expressway from Design Chainage Km 515.000 to 528.300 Kunjwani to Sidhra Section of NH-44 and from Design Chainage Km 550.900 to Km 566.520 Domel to Katra Section Phase II-Package XVII,National Highways Authority of India [NHAI],618495,Jammu and Kashmir,2022-06,2023-06,2025-06,2027-08,2894.74,2894.74,847.67,64.68,112,May 2026,FlashReport_May2026.pdf,2026-05
1077,4/6L Access Control Expressway from Design Chainage Km 515.000 to 528.300 Kunjwani to Sidhra Section of NH-44 and from Design Chainage Km 550.900 to Km 566.520 Domel to Katra Section Phase II-Package XVII,NHAI,618495,Jammu and Kashmir,2022-06,2023-06,2025-06,2027-08,2894.74,2894.74,996.74,66.17,114,June 2026,FlashReport_June_2026.pdf,2026-06
1004,4/6L Access Control Expressway from Design Chainage Km 515.000 to 528.300 Kunjwani to Sidhra Section of NH-44 and from Design Chainage Km 550.900 to Km 566.520 Domel to Katra Section Phase II-Package XVII,NHAI,618495,Jammu and Kashmir,2022-06,2023-06,2025-06,2027-11,2894.74,2894.74,1016.96,66.74,107,July 2026,FlashReport_July_2026.pdf,2026-07
1138,Delhi-Amritsar-Katra Expressway Phase-II Pkg-XVI Existing Jakh Vijaypur-Kunjwani section of NH-44 including spur Connectivity to Jammu Airport NH-144A [Km 503500 to km 514500],National Highways Authority of India [NHAI],618496,Jammu and Kashmir,2021-09,2022-09,2024-09,2026-09,1821.72,2522.56,1174.58,94.14,113,April 2026,FlashReport_April2026.pdf,2026-04
1142,Delhi-Amritsar-Katra Expressway Phase-II Pkg-XVI Existing Jakh Vijaypur-Kunjwani section of NH-44 including spur Connectivity to Jammu Airport NH-144A [Km 503500 to km 514500],National Highways Authority of India [NHAI],618496,Jammu and Kashmir,2021-09,2022-09,2024-09,2026-09,1821.72,2522.56,1171.13,94.14,112,May 2026,FlashReport_May2026.pdf,2026-05
1078,Delhi-Amritsar-Katra Expressway Phase-II Pkg-XVI Existing Jakh Vijaypur-Kunjwani section of NH-44 including spur Connectivity to Jammu Airport NH-144A [Km 503500 to km 514500],NHAI,618496,Jammu and Kashmir,2021-09,2022-09,2024-09,2026-09,1821.72,2522.56,1237.76,94.14,114,June 2026,FlashReport_June_2026.pdf,2026-06
1005,Delhi-Amritsar-Katra Expressway Phase-II Pkg-XVI Existing Jakh Vijaypur-Kunjwani section of NH-44 including spur Connectivity to Jammu Airport NH-144A [Km 503500 to km 514500],NHAI,618496,Jammu and Kashmir,2021-09,2022-09,2024-09,2026-09,1821.72,2522.56,1238.6,94.14,107,July 2026,FlashReport_July_2026.pdf,2026-07
1139,Delhi Amritsar Katra Expressway Phase-II Pkg XVIII Development and Upgradation of Four lane Access Control Expressway from Design Chainage KM 530.00 to KM 545.300 Sidhra to Domel Section of NH-44,National Highways Authority of India [NHAI],618497,Jammu and Kashmir,2022-12,2023-11,2025-11,2027-03,975.38,975.38,564.21,62.41,113,April 2026,FlashReport_April2026.pdf,2026-04
1143,Delhi Amritsar Katra Expressway Phase-II Pkg XVIII Development and Upgradation of Four lane Access Control Expressway from Design Chainage KM 530.00 to KM 545.300 Sidhra to Domel Section of NH-44,National Highways Authority of India [NHAI],618497,Jammu and Kashmir,2022-12,2023-11,2025-11,2027-06,975.38,975.38,564.48,66.69,112,May 2026,FlashReport_May2026.pdf,2026-05
1079,Delhi Amritsar Katra Expressway Phase-II Pkg XVIII Development and Upgradation of Four lane Access Control Expressway from Design Chainage KM 530.00 to KM 545.300 Sidhra to Domel Section of NH-44,NHAI,618497,Jammu and Kashmir,2022-12,2023-11,2025-11,2027-06,975.38,975.38,606.46,67.5,114,June 2026,FlashReport_June_2026.pdf,2026-06
1006,Delhi Amritsar Katra Expressway Phase-II Pkg XVIII Development and Upgradation of Four lane Access Control Expressway from Design Chainage KM 530.00 to KM 545.300 Sidhra to Domel Section of NH-44,NHAI,618497,Jammu and Kashmir,2022-12,2023-11,2025-11,2027-06,1025.73,975.38,631.2,70.17,107,July 2026,FlashReport_July_2026.pdf,2026-07
1814,6L Greenfield Kanpur - Lucknow Expressway Pkg II from km. 28.500 to km. 73.744,National Highways Authority of India [NHAI],618498,Uttar Pradesh,2021-12,2022-11,2025-05,2026-04,2471.56,2489.0,1178.84,99.8,153,April 2026,FlashReport_April2026.pdf,2026-04
1827,6L Greenfield Kanpur - Lucknow Expressway Pkg II from km. 28.500 to km. 73.744,National Highways Authority of India [NHAI],618498,Uttar Pradesh,2021-12,2022-11,2025-05,2026-04,2471.56,2489.0,1178.84,99.8,153,May 2026,FlashReport_May2026.pdf,2026-05
1815,6L Elevated Kanpur - Lucknow Exeressway Pkg-1 from Km. 10980 to Km. 28500,National Highways Authority of India [NHAI],618499,Uttar Pradesh,2021-12,2023-02,2025-07,2026-05,1972.94,1943.27,766.29,94.14,153,April 2026,FlashReport_April2026.pdf,2026-04
1828,6L Elevated Kanpur - Lucknow Exeressway Pkg-1 from Km. 10980 to Km. 28500,National Highways Authority of India [NHAI],618499,Uttar Pradesh,2021-12,2023-02,2025-07,2026-06,1972.94,1943.27,769.45,94.14,153,May 2026,FlashReport_May2026.pdf,2026-05
1695,6L Elevated Kanpur - Lucknow Exeressway Pkg-1 from Km. 10980 to Km. 28500,NHAI,618499,Uttar Pradesh,2021-12,2023-02,2025-07,2026-07,1972.94,1943.27,770.81,100.0,151,June 2026,FlashReport_June_2026.pdf,2026-06
1610,6L Elevated Kanpur - Lucknow Exeressway Pkg-1 from Km. 10980 to Km. 28500,NHAI,618499,Uttar Pradesh,2021-12,2023-02,2025-07,2026-08,1972.94,1943.27,770.81,100.0,143,July 2026,FlashReport_July_2026.pdf,2026-07
1816,Construction of 4L Connector from Delhi Meerut Expressway Km 50.000 of Pkg IV to Km 8.520 of NH-235 Pkg-5,National Highways Authority of India [NHAI],618500,Uttar Pradesh,2021-09,2022-03,2024-03,2026-05,1081.39,1116.19,419.14,76.0,153,April 2026,FlashReport_April2026.pdf,2026-04
1829,Construction of 4L Connector from Delhi Meerut Expressway Km 50.000 of Pkg IV to Km 8.520 of NH-235 Pkg-5,National Highways Authority of India [NHAI],618500,Uttar Pradesh,2021-09,2022-03,2024-03,2026-06,1081.39,1116.19,441.91,76.0,153,May 2026,FlashReport_May2026.pdf,2026-05
1696,Construction of 4L Connector from Delhi Meerut Expressway Km 50.000 of Pkg IV to Km 8.520 of NH-235 Pkg-5,NHAI,618500,Uttar Pradesh,2021-09,2022-03,2024-03,2026-07,1081.39,1116.19,442.98,78.0,151,June 2026,FlashReport_June_2026.pdf,2026-06
1611,Construction of 4L Connector from Delhi Meerut Expressway Km 50.000 of Pkg IV to Km 8.520 of NH-235 Pkg-5,NHAI,618500,Uttar Pradesh,2021-09,2022-03,2024-03,2026-08,1081.39,1116.19,455.0,78.0,143,July 2026,FlashReport_July_2026.pdf,2026-07
1051,Ahmedabad - Dholera Pkg I from km. 0.00 to km. 22.00 [Sardar Patel Ring Road - Sindhrej Village],National Highways Authority of India [NHAI],618501,Gujarat,2020-05,2022-01,2024-01,2026-05,1298.0,1421.05,1012.45,100.0,108,April 2026,FlashReport_April2026.pdf,2026-04
1055,Ahmedabad - Dholera Pkg I from km. 0.00 to km. 22.00 [Sardar Patel Ring Road - Sindhrej Village],National Highways Authority of India [NHAI],618501,Gujarat,2020-05,2022-01,2024-01,2026-06,1298.0,1421.05,1024.93,100.0,107,May 2026,FlashReport_May2026.pdf,2026-05
1052,Ahmedabad - Dholera Pkg II from km. 22.00 to km. 48.52 [Sindhrej Village - Vejallka Village],National Highways Authority of India [NHAI],618502,Gujarat,2020-05,2022-01,2024-01,2026-05,1415.34,1729.69,1354.93,100.0,108,April 2026,FlashReport_April2026.pdf,2026-04
1056,Ahmedabad - Dholera Pkg II from km. 22.00 to km. 48.52 [Sindhrej Village - Vejallka Village],National Highways Authority of India [NHAI],618502,Gujarat,2020-05,2022-01,2024-01,2026-06,1415.34,1729.69,1427.49,100.0,107,May 2026,FlashReport_May2026.pdf,2026-05
1053,Ahmedabad - Dholera Pkg III from km. 48.52 to km. 71.06 [Vejallka Village - Start of DSIR zone],National Highways Authority of India [NHAI],618503,Gujarat,2020-05,2021-07,2023-07,2026-05,1034.04,1155.41,955.74,100.0,108,April 2026,FlashReport_April2026.pdf,2026-04
1057,Ahmedabad - Dholera Pkg III from km. 48.52 to km. 71.06 [Vejallka Village - Start of DSIR zone],National Highways Authority of India [NHAI],618503,Gujarat,2020-05,2021-07,2023-07,2026-06,1034.04,1155.41,1009.77,100.0,107,May 2026,FlashReport_May2026.pdf,2026-05
1003,Ahmedabad - Dholera Pkg III from km. 48.52 to km. 71.06 [Vejallka Village - Start of DSIR zone],NHAI,618503,Gujarat,2020-05,2021-07,2023-07,2026-07,1034.04,1155.41,1125.55,100.0,110,June 2026,FlashReport_June_2026.pdf,2026-06
932,Ahmedabad - Dholera Pkg III from km. 48.52 to km. 71.06 [Vejallka Village - Start of DSIR zone],NHAI,618503,Gujarat,2020-05,2021-07,2023-07,2026-08,1034.04,1155.41,1125.55,100.0,102,July 2026,FlashReport_July_2026.pdf,2026-07
1054,Ahmedabad - Dholera Pkg IV from km. 71.06 to km. 109.019 [Start of DSIR zone - Adhelai Village],National Highways Authority of India [NHAI],618504,Gujarat,2020-05,2021-12,2023-12,2026-05,1181.76,1358.73,1204.33,97.92,108,April 2026,FlashReport_April2026.pdf,2026-04
1058,Ahmedabad - Dholera Pkg IV from km. 71.06 to km. 109.019 [Start of DSIR zone - Adhelai Village],National Highways Authority of India [NHAI],618504,Gujarat,2020-05,2021-12,2023-12,2026-06,1181.76,1358.73,1206.44,97.99,107,May 2026,FlashReport_May2026.pdf,2026-05
1004,Ahmedabad - Dholera Pkg IV from km. 71.06 to km. 109.019 [Start of DSIR zone - Adhelai Village],NHAI,618504,Gujarat,2020-05,2021-12,2023-12,2026-07,1181.76,1358.73,1222.65,97.99,110,June 2026,FlashReport_June_2026.pdf,2026-06
933,Ahmedabad - Dholera Pkg IV from km. 71.06 to km. 109.019 [Start of DSIR zone - Adhelai Village],NHAI,618504,Gujarat,2020-05,2021-12,2023-12,2026-08,1181.76,1358.73,1222.79,98.08,102,July 2026,FlashReport_July_2026.pdf,2026-07
1508,Additional Structures on 6LGurgaon-Jaipur Section of NH-48 between KM 42.700 to KM 273.00,National Highways Authority of India [NHAI],618505,"Multi-States (Haryana, Rajasthan)",2022-08,2022-12,2024-06,2026-07,409.64,290.64,195.8,87.14,135,April 2026,FlashReport_April2026.pdf,2026-04
1519,Additional Structures on 6LGurgaon-Jaipur Section of NH-48 between KM 42.700 to KM 273.00,National Highways Authority of India [NHAI],618505,"Multi-States (Haryana, Rajasthan)",2022-08,2022-12,2024-06,2026-07,409.64,290.64,198.94,88.9,135,May 2026,FlashReport_May2026.pdf,2026-05
1425,Additional Structures on 6LGurgaon-Jaipur Section of NH-48 between KM 42.700 to KM 273.00,NHAI,618505,"Multi-States (Haryana, Rajasthan)",2022-08,2022-12,2024-06,2026-08,409.64,290.64,199.54,88.9,135,June 2026,FlashReport_June_2026.pdf,2026-06
1349,Additional Structures on 6LGurgaon-Jaipur Section of NH-48 between KM 42.700 to KM 273.00,NHAI,618505,"Multi-States (Haryana, Rajasthan)",2022-08,2022-12,2024-06,2026-08,409.64,290.64,200.31,88.9,127,July 2026,FlashReport_July_2026.pdf,2026-07
1081,"Construction of Additional Structures, Improvement of Service Road & Maintenance of Six Lane Gurgaon-Jaipur Section of NH-48 old NH-8 between km 42700 to km 107100 in the State of Haryana",National Highways Authority of India [NHAI],618506,Haryana,2024-05,2025-05,2027-05,2027-05,401.74,240.02,93.89,45.02,109,April 2026,FlashReport_April2026.pdf,2026-04
1085,"Construction of Additional Structures, Improvement of Service Road & Maintenance of Six Lane Gurgaon-Jaipur Section of NH-48 old NH-8 between km 42700 to km 107100 in the State of Haryana",National Highways Authority of India [NHAI],618506,Haryana,2024-05,2025-05,2027-05,2027-05,401.74,240.02,105.22,50.65,109,May 2026,FlashReport_May2026.pdf,2026-05
1022,"Construction of Additional Structures, Improvement of Service Road & Maintenance of Six Lane Gurgaon-Jaipur Section of NH-48 old NH-8 between km 42700 to km 107100 in the State of Haryana",NHAI,618506,Haryana,2024-05,2025-05,2027-05,2027-05,401.74,240.02,116.43,56.05,111,June 2026,FlashReport_June_2026.pdf,2026-06
950,"Construction of Additional Structures, Improvement of Service Road & Maintenance of Six Lane Gurgaon-Jaipur Section of NH-48 old NH-8 between km 42700 to km 107100 in the State of Haryana",NHAI,618506,Haryana,2024-05,2025-05,2027-05,2027-05,401.74,240.02,131.79,61.38,103,July 2026,FlashReport_July_2026.pdf,2026-07
1055,"Balance work of Six Laning of Shamlaji-Motachiloda from Km. 401.200 to Km.494.410 section Design Chainage Km.447.385 to Km 540.595, Length- 93.210 Km of old NH-8 NH-48 in the state of Gujarat on single Percentage Item Rate Contract",National Highways Authority of India [NHAI],618507,Gujarat,2024-06,2024-08,2025-06,2026-06,466.8,501.48,553.93,84.15,108,April 2026,FlashReport_April2026.pdf,2026-04
1059,"Balance work of Six Laning of Shamlaji-Motachiloda from Km. 401.200 to Km.494.410 section Design Chainage Km.447.385 to Km 540.595, Length- 93.210 Km of old NH-8 NH-48 in the state of Gujarat on single Percentage Item Rate Contract",National Highways Authority of India [NHAI],618507,Gujarat,2024-06,2024-08,2025-06,2026-07,466.8,501.48,554.37,89.5,107,May 2026,FlashReport_May2026.pdf,2026-05
1005,"Balance work of Six Laning of Shamlaji-Motachiloda from Km. 401.200 to Km.494.410 section Design Chainage Km.447.385 to Km 540.595, Length- 93.210 Km of old NH-8 NH-48 in the state of Gujarat on single Percentage Item Rate Contract",NHAI,618507,Gujarat,2024-06,2024-08,2025-06,2026-07,466.8,501.48,577.31,91.8,110,June 2026,FlashReport_June_2026.pdf,2026-06
